Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Portugal,9,Nike,MF,6,"July 9, 1995",Fulham,Joao Palhinha,3,0,0,2.57,2.57,5.14,5.14,-,-,Adidas
Portugal,9,Nike,MF,18,"March 13, 1997",Wolves,Ruben Neves,5,0,0,0.00,0.66,0.33,2.32,-,-,Nike
Portugal,9,Nike,MF,10,"August 10, 1994",Manchester City,Bernardo Silva,5,0,0,0.50,0.50,0.50,1.76,-,-,Adidas
Portugal,9,Nike,MF,8,"September 8, 1994",Manchester United,Bruno Fernandes,4,2,3,0.76,0.50,0.76,4.28,-,-,Nike
Portugal,9,Nike,MF,17,"January 19, 1993",Benfica,Joao Mario,2,0,0,1.08,0.00,2.17,2.17,-,-,Nike
Portugal,9,Nike,MF,23,"August 27, 1998",Wolves,Matheus Nunes,2,0,0,1.23,0.00,0.00,3.70,-,-,Adidas
Portugal,9,Nike,MF,25,"February 9, 1995",Porto,Otavio,3,0,0,N.A,N.A,N.A,N.A,-,-,Adidas
Portugal,9,Nike,MF,14,"April 7, 1992",Real Betis,William Carvalho,4,0,0,0.00,0.00,2.51,6.69,-,-,Nike
Portugal,9,Nike,MF,16,"February 13, 2000",PSG,Vitinha,3,0,0,1.51,0.00,2.27,5.29,-,-,Nike
Portugal,9,Nike,FW,24,"November 6, 1995",RB Leipzig,Andre Silva,1,0,0,0.00,0.00,0.00,7.20,-,-,Nike
Portugal,9,Nike,FW,7,"February 5, 1985",-,Cristiano Ronaldo 🐐,5,1,0,0.62,0.00,0.00,6.49,-,-,Nike
Portugal,9,Nike,FW,26,"June 20, 2001",Benfica,Goncalo Ramos,4,3,1,1.18,0.00,0.59,7.11,-,-,Nike
Portugal,9,Nike,FW,11,"November 10, 1999",Atletico Madrid,Joao Felix,4,1,2,2.16,1.08,0.54,5.13,-,-,Adidas
Portugal,9,Nike,FW,15,"June 10, 1999",AC Milan,Rafael Leao,5,2,0,6.51,1.08,0.00,7.59,-,-,Adidas
Portugal,9,Nike,FW,21,"September 15, 1994",SC Braga,Ricardo Horta,3,1,0,0.00,0.76,1.53,2.29,-,-,Nike
Australia,27,Nike,GK,1,"Apr 8, 1992",Copenhagen,Mat Ryan,4,-,-,-,-,-,-,66.67%,50%,Nike
Australia,27,Nike,GK,18,"Mar 27, 1985",Central Coast Mariners,Danny Vukovic,-,-,-,-,-,-,-,-,-,Adidas
Australia,27,Nike,GK,12,"Jan 13, 1989",Sydney,Andrew Redmayne,-,-,-,-,-,-,-,-,-,Adidas
Australia,27,Nike,DF,16,"Oct 16, 1990",Dundee United,Aziz Behic,4,0,0,3.00,0.75,2.00,5.50,-,-,Mizuno
Australia,27,Nike,DF,2,"Apr 28, 1994",Columbus Crew,Milos Degenek,4,0,0,1.49,0.50,2.49,11.93,-,-,Adidas
Australia,27,Nike,DF,8,"July 28, 1992",Sunderland,Bailey Wright,1,0,0,0.00,0.00,0.00,11.24,-,-,Nike
Australia,27,Nike,DF,5,"May 12, 1996",Brescia,Fran Karacic,2,0,0,0.00,1.91,2.87,10.53,-,-,Nike
Australia,27,Nike,DF,19,"Oct 22, 1998",Stoke City,Harry Souttar,4,0,0,0.00,1.50,1.00,7.25,-,-,Nike
Australia,27,Nike,DF,3,"Jun 13, 1999",Hearts,Nathaniel Atkinson,1,0,0,2.12,1.06,4.24,4.24,-,-,Puma
Australia,27,Nike,DF,24,"Oct 30, 2000",OB,Joel King,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Australia,27,Nike,DF,4,"Jun 24, 1998",Hearts,Kye Rowles,4,0,0,0.00,1.75,2.25,4.25,-,-,Adidas
Australia,27,Nike,DF,20,"Mar 20, 1997",Albirex Niigata,Thomas Deng,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Australia,27,Nike,MF,13,"Sep 15, 1990",Celtic,Aaron Mooy,4,0,0,0.75,0.50,2.25,4.00,-,-,Nike
Australia,27,Nike,MF,22,"Mar 7, 1993",St Pauli,Jackson Irvine,4,0,0,0.51,0.51,1.01,6.08,-,-,Adidas
Australia,27,Nike,MF,10,"Jul 5, 1996",Hellas Verona,Ajdin Hrustic,2,0,0,6.10,1.53,1.53,6.10,-,-,Nike
Australia,27,Nike,MF,14,"Nov 2, 1998",Middlesbrough,Riley McGree,4,0,1,0.00,1.67,0.67,2.00,-,-,Nike
Australia,27,Nike,MF,26,"Jun 7, 1998",St Mirren,Keanu Baccus,4,0,0,0.00,1.61,0.80,4.82,-,-,Nike
Australia,27,Nike,MF,17,"Jun 7, 1998",Hearts,Cameron Devlin,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,New Balance
Australia,27,Nike,FW,7,"Feb 4, 1991",Melbourne City,Mathew Leckie,4,1,1,2.69,0.27,1.07,11.02,-,-,Nike
Australia,27,Nike,FW,11,"Sep 15, 1995",Cadiz,Awer Mabil,2,0,0,4.09,4.09,0.00,0.00,-,-,Nike
Australia,27,Nike,FW,9,"Jul 29, 1993",Melbourne City,Jamie Maclaren,3,0,0,0.00,1.70,0.00,3.40,-,-,Nike
Australia,27,Nike,FW,15,"Jan 18, 1991",Fagiano Okayama,Mitchell Duke,4,1,0,0.66,0.66,0.00,8.58,-,-,Nike
Australia,27,Nike,FW,6,"Apr 25, 1993",Hibernian,Marco Tilio,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Australia,27,Nike,FW,23,"Dec 16, 1991",Adelaide United,Craig Goodwin,4,1,0,0.00,0.00,1.52,3.04,-,-,Nike
Australia,27,Nike,FW,25,"Aug 1, 1995",Central Coast Mariners,Jason Cummings,1,0,0,2.65,0.00,0.00,0.00,-,-,Nike
Australia,27,Nike,FW,21,"Sep 15, 2004",Central Coast Mariners,Garang Kuol,2,0,0,N.A,N.A,N.A,N.A,-,-,Nike
USA,13,Nike,GK,1,"Jun 24, 1994",Arsenal,Matt Turner,4,-,-,-,-,-,-,53.33%,50%,Nike
USA,13,,GK,12,"Jun 9, 1995",Luton Town ,Ethan Horvath,0,-,-,-,-,-,-,-,-,Puma
USA,13,Nike,GK,25,"May 31, 1989",New York City FC,Sean Johnson,0,-,-,-,-,-,-,-,-,Nike
USA,13,Nike,DF,20,"Dec 31, 1997",Celtic,Cameron Carter-Vickers,1,0,0,0.00,0.00,0.00,9.00,-,-,Adidas
USA,13,Nike,DF,2,"Nov 3, 2000",AC Milan,Sergiño Dest,4,0,1,2.33,0.58,0.87,2.91,-,-,Nike
USA,13,Nike,DF,15,"Oct 12, 2000",New York Red Bills,Aaron Long,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
USA,13,Nike,DF,18,"Nov 2, 1996",Nashville SC,Shaq Moore,2,0,0,0.00,0.00,9.00,18.00,-,-,Nike
USA,13,Nike,DF,13,"Oct 5, 1987",Fulham,Tim Ream,4,0,0,0.25,1.00,1.00,4.75,-,-,Nike
USA,13,Nike,DF,5,"Aug 8, 1997",Fulham,Antonee Robinson,4,0,0,1.25,1.75,1.50,5.50,-,-,Nike
USA,13,Nike,DF,26,"Dec 31, 2002",Borussia Mönchengladbach,Joe Scally,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
USA,13,Nike,DF,22,"Jul 9, 1993",Inter Miami,DeAndre Yedlin,2,0,0,0.00,0.00,5.81,11.61,-,-,Under Armour
USA,13,Nike,DF,3,"May 19, 1993",Nashville SC,Walker Zimmerman,4,0,0,0.00,1.29,0.97,6.15,-,-,Adidas
USA,13,Nike,MF,11,"Oct 22, 2000",Leeds United,Brenden Aaronson,4,0,0,6.06,0.87,2.60,6.92,-,-,Nike
USA,13,Nike,MF,23,"Jul 24, 1995",Los Angeles FC,Kellyn Acosta,2,0,0,0.00,0.00,6.59,10.98,-,-,Nike
USA,13,Nike,MF,4,"Feb 14, 1999",Leeds United,Tyler Adams,4,0,0,0.25,1.00,2.25,6.25,-,-,Nike
USA,13,Nike,MF,14,"May 23, 1998",Celta Vigo,Luca de la Torre,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
USA,13,Nike,MF,8,"Aug 28, 1998",Juventus,Weston McKennie,4,0,0,0.65,0.00,0.65,3.60,-,-,Adidas
USA,13,Nike,MF,6,"Nov 29, 2002",Valencia,Yunus Musah,4,0,0,N.A,N.A,N.A,N.A,-,-,Puma
USA,13,Nike,MF,17,"Jun 3, 1995",Seattle Sounders,Cristian Roldan,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
USA,13,Nike,FW,9,"Dec 24, 2000",Tulsa Roughnecks,Jesús Ferreira,1,0,0,1.96,0.00,1.96,5.87,-,-,Nike
USA,13,Nike,FW,16,"Oct 26, 1994",Swansea City,Jordan Morris,2,0,0,0.00,0.00,0.00,0.00,-,-,Nike
USA,13,Nike,FW,10,"Sept 18, 1998",Chelsea,Christian Pulisic,4,1,2,1.99,0.00,0.57,5.70,-,-,Puma
USA,13,Nike,FW,7,"Nov 13, 2002",Borussia Dortmund,Gio Reyna,2,0,0,0.00,0.00,0.00,10.59,-,-,Adidas
USA,13,Nike,FW,21,"Feb 22, 2000",Lille,Tim Weah,4,1,0,0.56,0.00,0.28,2.25,-,-,New Balance
USA,13,Nike,FW,19,"Mar 27, 1998",Antalyaspor,Haji Wright,4,1,0,0.67,0.00,1.33,10.00,-,-,Nike
Poland ,22,Nike,GK,1,"April 15, 1990",Juventus,Wojciech Szczesny,4,-,-,-,-,-,-,82.14%,50%,New Balance
Poland ,22,Nike,GK,22,"January 8, 1999",FC Copenhagen,Kamil Grabara,0,-,-,-,-,-,-,-,-,Puma
Poland ,22,Nike,GK,12,"May 5, 1991",Bologna,Lukasz Skorupski,0,-,-,-,-,-,-,-,-,Adidas
Poland ,22,Nike,DF,5,"April 12, 1996",Aston Villa,Jan Bednarek,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Poland ,22,Nike,DF,15,"February 3, 1988",Benevento,Kamil Glik,4,0,0,0.00,0.75,0.50,2.50,-,-,Nike
Poland ,22,Nike,DF,25,"June 4, 1998",Augsburg,Robert Gumny,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Poland ,22,Nike,DF,3,"November 4, 1987",Legia Warsaw,Artur Jedrzejczyk,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Poland ,22,Nike,DF,14,"February 15, 2000",Spezia,Jakub Kiwior,4,0,0,0.00,0.76,0.50,2.02,-,-,Adidas
Poland ,22,Nike,DF,4,"February 11, 1997",Clermont,Mateusz Wieteska,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Poland ,22,Nike,DF,18,"July 12, 1992",Sampdoria,Bartosz Bereszynski,4,0,0,1.84,0.79,1.58,5.00,-,-,Puma
Poland ,22,Nike,DF,2,"August 7, 1997",Aston Villa,Matty Cash,4,0,0,0.50,0.00,1.00,2.50,-,-,Under Armour
Poland ,22,Nike,DF,21,"January 23, 2002",Roma,Nicola Zalewski,2,0,0,2.77,0.00,5.54,8.31,-,-,Nike
Poland ,22,Nike,MF,6,"January 4, 1998",Birmingham City,Krystian Bielik,4,0,0,1.26,1.67,1.26,9.21,-,-,Nike
Poland ,22,Nike,MF,24,"April 12, 1995",Lens,Przemyslaw Frankowski,4,0,0,0.74,1.12,2.60,5.95,-,-,Puma
Poland ,22,Nike,MF,11,"June 8, 1988",Pogon Szczecin,Kamil Grosicki,1,0,0,N.A,0.00,0.00,N.A,-,-,New Balance
Poland ,22,Nike,MF,10,"January 29, 1990",Al-Shabab,Grzegorz Krychowiak,4,0,0,0.54,1.35,2.43,6.74,-,-,Adidas
Poland ,22,Nike,MF,13,"June 5, 2002",Wolfsburg,Jakub Kaminski,4,0,0,1.55,0.00,2.33,3.88,-,-,Adidas
Poland ,22,Nike,MF,26,"February 15, 2000",Lech Poznan,Michal Skoras,1,0,0,0.00,2.05,0.00,8.19,-,-,Puma
Poland ,22,Nike,MF,8,"June 16, 1995",AEK Athens,Damian Szymanski,1,0,0,0.00,3.21,0.00,0.00,-,-,Mizuno
Poland ,22,Nike,MF,19,"May 10, 1999",Feyenoord,Sebastian Szymanski,2,0,0,1.33,1.33,4.00,8.00,-,-,Nike
Poland ,22,Nike,MF,20,"May 20, 1994",Napoli,Piotr Zielinski,4,1,0,0.82,0.27,1.91,2.73,-,-,Nike
Poland ,22,Nike,MF,17,"September 25, 1997",Fiorentina,Szymon Zurkowski,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Poland ,22,Nike,FW,9,"August 21, 1988",Barcelona,Robert Lewandowski,4,2,1,2.75,0.50,0.75,12.50,-,-,Nike
Poland ,22,Nike,FW,7,"February 28, 1994",Juventus,Arkadiusz Milik,3,0,0,0.00,0.00,0.00,9.00,-,-,Adidas
Poland ,22,Nike,FW,23,"July 1, 1995",Salernitana,Krzysztof Piatek,2,0,0,0.00,0.00,0.00,17.30,-,-,Adidas
Poland ,22,Nike,FW,16,"January 23, 1997",Charlotte FC,Karol Swiderski,1,0,0,0.00,3.91,7.83,N.A,-,-,Adidas
Senegal,19,Puma,GK,16,"March 1, 1992",Chelsea,Edouard Mendy,4,-,-,-,-,-,-,50%,0%,Adidas
Senegal,19,Puma,GK,23,"September 5, 1993",Rennes,Alfred Gomis,-,-,-,-,-,-,-,-,-,Adidas
Senegal,19,Puma,GK,1,"November 23, 1994",QPR,Seny Dieng,-,-,-,-,-,-,-,-,-,Nike
Senegal,19,Puma,DF,2,"January 2, 2001",Amiens,Formose Mendy,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Senegal,19,Puma,DF,3,"June 20, 1991",Chelsea,Kalidou Koulibaly,4,1,0,0.00,0.75,3.00,9.25,-,-,Puma
Senegal,19,Puma,DF,4,"September 14, 1995",Olympiacos,Papa Abou Cisse,2,0,0,0.88,1.76,0.00,4.41,-,-,Puma
Senegal,19,Puma,DF,22,"May 4, 1996",RB Leipzig,Abdou Diallo,4,0,0,0.00,0.27,0.54,4.34,-,-,Puma
Senegal,19,Puma,DF,12,"January 3, 1997",AC Milan,Fode Ballo-Toure,1,0,0,0.00,0.00,0.00,N.A,-,-,Adidas
Senegal,19,Puma,DF,14,"August 17, 1999",AS Monaco,Ismail Jakobs,4,0,1,0.32,1.29,0.00,7.39,-,-,Nike
Senegal,19,Puma,DF,21,"March 5, 1993",Real Betis,Youssouf Sabaly,4,0,0,1.25,1.00,1.50,7.50,-,-,Puma
Senegal,19,Puma,DF,10,"June 18, 2002",Anderlecht,Moussa Ndiaye,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Senegal,19,Puma,MF,26,"January 24, 1999",Marseille,Papa Gueye,3,0,0,0.60,1.19,2.38,10.13,-,-,Adidas
Senegal,19,Puma,MF,17,"September 14, 2002",Tottenham Hotspur,Pape Matar Sarr,0,0,0,1.61,0.00,4.82,8.65,-,-,Nike
Senegal,19,Puma,MF,6,"June 23, 1992",Leicester City,Nampalys Mendy,4,0,0,0.33,0.99,1.31,2.30,-,-,Adidas
Senegal,19,Puma,MF,15,"February 25, 1999",AS Monaco,Krepin Diatta,3,0,0,1.96,0.00,0.00,3.43,-,-,Adidas
Senegal,19,Puma,MF,11,"March 16, 1994",Rayo Vallecano,Pathe Ciss,3,0,0,1.23,1.23,1.85,8.63,-,-,Nike
Senegal,19,Puma,MF,24,"May 5, 1995",Monaco,Moustapha Name,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Senegal,19,Puma,MF,25,"December 30, 1996",Pafos,Loum Ndiaye,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Senegal,19,Puma,FW,9,"November 16, 1996",Salernitana,Boulaye Dia,4,1,0,0.56,0.28,0.28,4.76,-,-,Nike
Senegal,19,Puma,FW,18,"February 25, 1998",Watford,Ismalia Sarr,4,1,0,3.40,0.52,0.78,11.77,-,-,Nike
Senegal,19,Puma,FW,20,"March 23, 2000",Marseille,Bamba Dieng,4,1,0,N.A,N.A,N.A,N.A,-,-,Adidas
Senegal,19,Puma,FW,13,"March 6, 2000",Sheffield United,Iliman Ndiaye,3,0,1,4.60,0.66,0.00,3.94,-,-,Adidas
Senegal,19,Puma,FW,7,"June 20, 2001",Villarreal,Nicolas Jackson,1,0,0,N.A,N.A,N.A,N.A,-,-,Adidas
Senegal,19,Puma,FW,19,"December 15, 1992",Alanyaspor,Famara Diedhiou,2,1,0,0.98,0.00,0.00,11.74,-,-,Puma
Japan,20,Adidas,GK,1,"Mar 20, 1983",Strasbourg,Eiji Kawashima,0,-,-,-,-,-,-,-,-,Puma
Japan,20,Adidas,GK,12,"Mar 3, 1989",Shimizu S-Pulse,Shuichi Gonda,4,-,-,-,-,-,-,78.95%,0%,Mizuno
Japan,20,Adidas,GK,23,"Feb 3, 1992",Sint-Truiden,Daniel Schmidt,0,-,-,-,-,-,-,-,-,Puma
Japan,20,Adidas,DF,2,"Dec 22, 1993",Kawasaki Frontale,Miki Yamane,1,0,0,1.45,2.90,1.45,4.35,-,-,Asics
Japan,20,Adidas,DF,3,"Jul 15, 1991",Kawasaki Frontale,Shogo Taniguchi,2,0,0,0.00,0.43,0.43,6.43,-,-,Puma
Japan,20,Adidas,DF,5,"Sep 12, 1986",Tokyo,Yuto Nagatomo,4,0,0,1.69,0.00,1.69,3.80,-,-,Nike
Japan,20,Adidas,DF,16,"Nov 5, 1998",Arsenal,Takehiro Tomiyasu,3,0,0,0.00,0.00,0.00,5.84,-,-,Nike
Japan,20,Adidas,DF,19,"Apr 12, 1990",Urawa Red Diamonds,Hiroki Sakai,2,0,0,1.50,0.75,3.75,9.00,-,-,Nike
Japan,20,Adidas,DF,22,"Aug 24, 1988",Schalke,Maya Yoshida,4,0,1,0.46,0.69,0.92,6.76,-,-,Mizuno
Japan,20,Adidas,DF,26,"May 12, 1999",Stuttgart,Hiroki Ito,1,0,0,0.00,0.00,0.00,4.10,-,-,Nike
Japan,20,Adidas,MF,6,"Feb 9, 1993",Stuttgart,Wataru Endo,4,0,0,0.89,0.89,2.38,10.69,-,-,Puma
Japan,20,Adidas,MF,7,"May 28, 1992",Leganes,Gaku Shibasaki,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Umbro
Japan,20,Adidas,MF,8,"Jun 16, 1998",Freiburg,Ritsu Doan,4,2,0,2.49,0.83,2.49,6.22,-,-,Puma
Japan,20,Adidas,MF,9,"May 20, 1997",Brighton,Kaoru Mitoma,4,0,1,2.80,1.12,3.91,7.83,-,-,Puma
Japan,20,Adidas,MF,10,"Jan 16, 1995",Monaco,Takumi Minamino,3,0,0,1.61,0.00,3.21,3.21,-,-,Adidas
Japan,20,Adidas,MF,13,"May 10, 1995",Sporting,Hidemasa Morita,3,0,0,1.26,0.63,0.00,3.46,-,-,Mizuno
Japan,20,Adidas,MF,14,"Mar 9, 1993",Reims,Junya Ito,4,0,1,1.95,1.11,1.95,5.58,-,-,Puma
Japan,20,Adidas,MF,15,"Nov 5, 1996",Eintracht Frankfurt,Daichi Kamada,4,0,0,1.11,0.00,1.94,4.72,-,-,Nike
Japan,20,Adidas,MF,17,"Sep 10, 1998",Fortuna Dusseldorf,Ao Tanaka,3,1,0,0.00,1.57,1.57,5.23,-,-,Mizuno
Japan,20,Adidas,MF,24,"Feb 25, 1997",Nagoya Grampus,Yuki Soma,1,0,0,2.20,0.00,2.20,6.59,-,-,Mizuno
Japan,20,Adidas,FW,18,"Nov 10, 1994",Bochum,Takuma Asano,4,1,0,0.56,0.56,0.00,1.12,-,-,Adidas
Japan,20,Adidas,FW,20,"Sep 30, 1999",Shonan Bellmare,Shuto Machino,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Japan,20,Adidas,FW,21,"Aug 28, 1998",Cercle Brugge,Ayase Ueda,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Japan,20,Adidas,FW,25,"Oct 20, 1997",Celtic,Daizen Maeda,3,1,0,0.00,1.48,1.48,3.90,-,-,Nike
South Korea,25,Nike,GK,1,"September 30, 1990",Al Shabab,Kim Seung-gyu,4,-,-,-,-,-,-,57.89%,25%,Adidas
South Korea,25,Nike,GK,21,"September 25, 1991",Ulsan Hyundai,Jo Hyeon-woon,0,-,-,-,-,-,-,-,-,Adidas
South Korea,25,Nike,GK,12,"October 15, 1997",Jeonbuk Hyundai Motors,Song Bum-keun,0,-,-,-,-,-,-,-,-,Nike
South Korea,25,Nike,DF,4,"November 15, 1996",Napoli,Kim Min-jae,3,0,0,0.33,0.67,0.67,7.66,-,-,Nike
South Korea,25,Nike,DF,3,"June 13, 1992",Jeonbuk Hyundai Motors,Kim Jin-su,4,0,1,0.57,0.85,2.85,10.26,-,-,Puma
South Korea,25,Nike,DF,14,"September 17, 1990",Daegu FC,Hong Chul,1,0,0,2.05,2.05,0.00,4.05,-,-,Nike
South Korea,25,Nike,DF,15,"August 1, 1995",Jeonbuk Hyundai Motors,Kim Moon-hwan,4,0,0,1.00,1.00,2.25,5.75,-,-,Nike
South Korea,25,Nike,DF,2,"March 20, 1998",FC Seoul,Yoon Jong-gyu,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
South Korea,25,Nike,DF,19,"February 27, 1990",Ulsan Hyundai,Kim Young-gwon,4,1,0,0.00,0.77,0.77,4.36,-,-,Mizuno
South Korea,25,Nike,DF,23,"July 24, 1989",Ulsan Hyundai,Kim Tae-hwan,"N,A","N,A","N,A","N,A","N,A","N,A","N,A",-,-,Mizuno
South Korea,25,Nike,DF,20,"January 31, 1992",Gamba Osaka,Kwon Kyung-won,4,0,0,0.00,N.A,N.A,N.A,-,-,Mizuno
South Korea,25,Nike,DF,24,"November 17, 1996",Daejon Citizen,Cho Yu-min,1,0,0,N.A,N.A,N.A,N.A,-,-,Nike
South Korea,25,Nike,MF,5,"December 14, 1989",Al Sadd,Jung Woo-young,4,0,0,0.00,0.59,1.48,5.04,-,-,Mizuno
South Korea,25,Nike,MF,17,"August 12, 1996",FC Seoul,Na Sang-ho,2,0,0,3.05,0.00,3.05,7.63,-,-,Nike
South Korea,25,Nike,MF,8,"March 17, 1997",Jeonbuk Hyundai Motors,Paik Seung-ho,1,1,0,0.00,0.00,10.80,N.A,-,-,Nike
South Korea,25,Nike,MF,13,"May 12, 1992",Shandong Taishan,Son Jun-ho,3,0,0,0.00,3.91,3.91,3.91,-,-,Mizuno
South Korea,25,Nike,MF,26,"September 12, 1999",Jeonbuk Hyundai Motors,Song Min-kyu,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
South Korea,25,Nike,MF,22,"June 30, 1994",Gimcheon Sangmu,Kwon Chang-hoon,1,0,0,N.A,N.A,N.A,N.A,-,-,Nike
South Korea,25,Nike,MF,10,"August 10, 1992",Mainz,Lee Jae-sung,3,0,0,1.26,1.26,2.10,5.89,-,-,Nike
South Korea,25,Nike,MF,6,"September 20, 1996",Olympiacos,Hwang In-beom,4,0,0,1.07,0.81,1.07,2.96,-,-,Mizuno
South Korea,25,Nike,MF,18,"February 19, 2001",Mallorca,Lee Kang-in,4,0,1,0.62,0.00,2.47,5.55,-,-,Adidas
South Korea,25,Nike,FW,7,"July 8, 1992",Tottenham Hotspur,Son Heung-min,4,0,1,3.25,0.50,1.25,3.50,-,-,Adidas
South Korea,25,Nike,FW,11,"January 26, 1996",Wolverhampton Wanderers,Hwang Hee-chan,2,1,0,7.11,0.00,0.79,5.53,-,-,Nike
South Korea,25,Nike,FW,25,"September 20, 1999",Freiburg,Jeong Woo-yeong,1,0,0,1.96,0.00,0.00,0.00,-,-,Nike
South Korea,25,Nike,FW,16,"August 28, 1992",Olympiacos,Hwang Ui-jo,4,0,0,0.86,0.00,0.00,2.57,-,-,Adidas
South Korea,25,Nike,FW,9,"January 26, 1998",Jeonbuk Hyundai Motors,Cho Gue-sung,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Spain,10,Adidas,GK,1,"November 18, 1997",Brighton,Robert Sanchez,0,-,-,-,-,-,-,-,-,Nike
Spain,10,Adidas,GK,13,"September 15, 1995",Brentford,David Raya,0,-,-,-,-,-,-,-,-,Adidas
Spain,10,Adidas,GK,23,"June 11, 1997",Athletic Club,Unai Simon,4,-,-,-,-,-,-,66.67%,50%,Adidas
Spain,10,Adidas,DF,2,"August 28, 1989",Chelsea,Cesar Azpilicueta,2,0,1,0.00,0.66,0.66,3.31,-,-,Adidas
Spain,10,Adidas,DF,18,"March 21, 1989",FC Barcelona,Jordi Alba,4,0,2,1.02,1.02,2.37,4.74,-,-,Adidas
Spain,10,Adidas,DF,15,"January 31, 2000",Valencia,Hugo Guillamon,3,1,0,N.A,N.A,N.A,N.A,-,-,Adidas
Spain,10,Adidas,DF,4,"January 17, 1997",Villarreal,Pau Torrres,1,0,0,0.00,0.00,0.00,1.00,-,-,Adidas
Spain,10,Adidas,DF,3,"January 9, 2001",Barcelona,Eric Garcia,3,0,0,N.A,N.A,N.A,N.A,-,-,Adidas
Spain,10,Adidas,DF,14,"October 18, 2003",Barcelona,Alejandro Balde,4,0,0,0.00,0.00,4.35,5.08,-,-,Nike
Spain,10,Adidas,DF,20,"January 11, 1992",Real Madrid,Dani Carvajal,2,0,0,0.00,1.34,0.67,1.34,-,-,Nike
Spain,10,Adidas,DF,24,"May 27, 1994",Manchester City,Aymeric Laporte,3,0,0,0.00,0.60,0.60,4.20,-,-,Adidas
Spain,10,Adidas,MF,5,"July 16, 1988",Barcelona,Sergio Busquets,4,0,0,0.25,0.25,1.73,6.68,-,-,Nike
Spain,10,Adidas,MF,6,"January 30, 1995",Atletico Madrid,Marcos Llorente,1,0,0,0.00,0.00,0.00,0.00,-,-,Nike
Spain,10,Adidas,MF,26,"November 25, 2002",Barcelona,Pedri,4,0,0,2.02,1.01,1.01,3.53,-,-,Adidas
Spain,10,Adidas,MF,16,"June 22, 1996",Manchester City,Rodri,4,0,0,0.00,0.69,1.15,8.77,-,-,Nike
Spain,10,Adidas,MF,8,"January 8, 1992",Atletico Madrid,Koke,2,0,0,0.00,0.00,1.80,1.80,-,-,Adidas
Spain,10,Adidas,MF,9,"August 5, 2004",Barcelona,Gavi,4,1,0,0.94,0.31,2.51,8.78,-,-,Nike
Spain,10,Adidas,MF,19,"January 2, 1997",PSG,Carlos Soler,2,1,0,1.00,0.00,0.00,2.00,-,-,Adidas
Spain,10,Adidas,FW,7,"October 23, 1992",Atletico Madrid,Alvaro Morata,4,3,1,1.48,0.00,0.49,2.95,-,-,Adidas
Spain,10,Adidas,FW,17,"October 20, 2002",Villarreal,Yeremy Pino,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Spain,10,Adidas,FW,11,"February 29, 2000",Barcelona,Ferran Torres,4,2,0,4.52,0.00,0.00,2.88,-,-,Adidas
Spain,10,Adidas,FW,10,"January 21, 1996",Real Madrid,Marco Asensio,4,1,0,0.78,0.00,0.39,1.56,-,-,Nike
Spain,10,Adidas,FW,22,"May 11, 1992",PSG,Pablo Sarabia,1,0,0,N.A,N.A,N.A,N.A,-,-,Puma
Spain,10,Adidas,FW,21,"May 7, 1998",RB Leipzig,Dani Olmo,4,1,1,3.91,0.24,1.22,3.42,-,-,Adidas
Spain,10,Adidas,FW,12,"July 12, 2002",Athletic Club,Nico Williams,4,0,0,8.07,0.00,2.48,6.83,-,-,Nike
Spain,10,Adidas,FW,25,"October 31, 2002",Barcelona,Ansu Fati,2,0,0,4.09,0.00,2.05,6.14,-,-,Nike
